Iter,rel_residual,rel_error,reg_param
69,2.4672323892508755e-01,3.5186119125641471e-02,9.5680602108967159e-07
70,2.4671245399788230e-01,3.5185350077938125e-02,9.5027000556315744e-07
71,2.4670315885769817e-01,3.5184687249944099e-02,9.4461393790901572e-07
72,2.4669293241134144e-01,3.5183957996927480e-02,9.3836620346900288e-07
73,2.4668303224557467e-01,3.5183251996743589e-02,9.3229242160238007e-07
74,2.4667470178045456e-01,3.5182657924007057e-02,9.2716195682408158e-07
75,2.4666625349597915e-01,3.5182055438941505e-02,9.2194022823759490e-07
76,2.4665678547194500e-01,3.5181380219412535e-02,9.1606545367229952e-07
77,2.4664821510767221e-01,3.5180769006015938e-02,9.1072655670840277e-07
78,2.4664024637529394e-01,3.5180200689725175e-02,9.0574413993427182e-07
79,2.4663134640417314e-01,3.5179565948235535e-02,9.0015826140640850e-07
80,2.4662269002315187e-01,3.5178948568483095e-02,8.9470342596696235e-07
81,2.4661571881629649e-01,3.5178451368771957e-02,8.9029458633131358e-07
82,2.4660835557400523e-01,3.5177926200717823e-02,8.8562214027652459e-07
83,2.4660027616119520e-01,3.5177349944258786e-02,8.8047642571513574e-07
84,2.4659305712389587e-01,3.5176835045281699e-02,8.7586175886783304e-07
85,2.4658649282291450e-01,3.5176366838933479e-02,8.7165154647293539e-07
86,2.4657876798422418e-01,3.5175815847910803e-02,8.6667954959458233e-07
87,2.4657184492556319e-01,3.5175322038269563e-02,8.6220734074298175e-07
88,2.4656609055428549e-01,3.5174911583775371e-02,8.5847821177651721e-07
89,2.4655878016326527e-01,3.5174390132785859e-02,8.5372492180931802e-07
90,2.4655173158176263e-01,3.5173887349377660e-02,8.4912488979417515e-07
91,2.4654599878101741e-01,3.5173478416821224e-02,8.4537108616034940e-07
92,2.4653959157162397e-01,3.5173021371672185e-02,8.4116224883753511e-07
93,2.4653312932277496e-01,3.5172560394380645e-02,8.3690268710791495e-07
94,2.4652879288493082e-01,3.5172251056051339e-02,8.3403603131736474e-07
95,2.4652310744711850e-01,3.5171845483143012e-02,8.3026735796102514e-07
96,2.4651671239315240e-01,3.5171389283902704e-02,8.2601423608115485e-07
97,2.4651202218052823e-01,3.5171054697908370e-02,8.2288534894354768e-07
98,2.4650776306027830e-01,3.5170750862020393e-02,8.2003692797060891e-07
99,2.4650179901307362e-01,3.5170325396135425e-02,8.1603675772374702e-07
100,2.4649592542811335e-01,3.5169906378656246e-02,8.1208394678859373e-07
